,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Atuona,17,PF,1559667798,76,-9.8,-139.03,82.64,20.02
1,Kabalo,0,CD,1559668351,37,-6.05,26.92,76.16,3.87
2,Matay,16,EG,1559668352,22,28.42,30.79,93.08,16.2
3,Bredasdorp,100,ZA,1559668353,88,-34.53,20.04,60.01,3.0
4,Kapaa,75,US,1559667895,88,22.08,-159.32,75.2,13.87
5,Rikitea,58,PF,1559668356,80,-23.12,-134.97,75.8,14.45
6,Mataura,94,NZ,1559668357,85,-46.19,168.86,41.06,7.94
7,Dikson,100,RU,1559668358,98,73.51,80.55,33.86,10.85
8,Arraial do Cabo,75,BR,1559667795,60,-22.97,-42.02,73.4,25.28
9,Cherskiy,0,RU,1559667931,68,68.75,161.3,31.16,13.98
10,Viiratsi,0,EE,1559668361,39,58.36,25.64,80.6,8.05
11,New Norfolk,20,AU,1559667882,80,-42.78,147.06,43.0,6.93
12,Ushuaia,0,AR,1559667897,87,-54.81,-68.31,44.6,9.17
13,Yellowknife,75,CA,1559667799,87,62.45,-114.38,44.6,6.93
14,Mackay,75,CA,1559668365,50,53.65,-115.58,57.2,6.93
15,East London,99,ZA,1559667936,95,-33.02,27.91,61.22,5.77
16,Ilulissat,75,GL,1559668197,65,69.22,-51.1,44.6,6.93
17,Qaanaaq,71,GL,1559667904,88,77.48,-69.36,28.1,2.84
18,Saint-Joseph,0,FR,1559668032,64,43.56,6.97,80.6,6.93
19,Taltal,0,CL,1559668371,41,-25.41,-70.49,72.92,6.49
20,Lasa,0,CY,1559668042,47,34.92,32.53,80.6,6.93
21,Saint George,75,GR,1559667884,50,39.45,22.34,77.0,8.05
22,Hermanus,100,ZA,1559668374,88,-34.42,19.24,60.01,3.0
23,Upernavik,38,GL,1559667794,88,72.79,-56.15,32.78,7.0
24,Radomsko,0,PL,1559668377,71,51.07,19.44,80.01,6.91
25,Avarua,95,CK,1559667734,88,-21.21,-159.78,73.4,2.24
26,Hami,79,CN,1559667896,16,42.84,93.51,75.98,14.14
27,Albany,40,US,1559667899,44,42.65,-73.75,69.01,12.75
28,San Juan de Uraba,100,CO,1559668381,78,8.76,-76.53,84.26,6.42
29,Hilo,90,US,1559667883,83,19.71,-155.08,71.6,3.36
30,Punta Arenas,75,CL,1559667882,87,-53.16,-70.91,42.8,6.93
31,Saldanha,10,PT,1559667978,39,41.42,-6.55,64.64,15.61
32,Ostrovnoy,100,RU,1559667883,79,68.05,39.51,45.2,17.85
33,Chuy,0,UY,1559667930,50,-33.69,-53.46,60.86,4.18
34,Tasiilaq,5,GL,1559667785,45,65.61,-37.64,44.6,11.41
35,Hobart,20,AU,1559667911,80,-42.88,147.33,43.0,6.93
36,San Cristobal,40,EC,1559667928,33,-0.39,-78.55,73.4,8.05
37,Kodiak,1,US,1559667803,47,39.95,-94.76,81.0,10.29
38,Katsuura,75,JP,1559667984,83,33.93,134.5,73.0,10.29
39,Port Macquarie,75,AU,1559668393,87,-31.43,152.91,57.0,10.29
40,Ribeira Grande,75,PT,1559667933,49,38.52,-28.7,68.0,17.22
41,Moyale,62,ET,1559668395,76,3.52,39.05,67.88,3.62
42,Abhar,0,IR,1559668396,36,36.14,49.22,66.8,4.52
43,Alyangula,90,AU,1559667897,43,-13.85,136.42,71.6,10.29
44,Ayorou,73,NE,1559668399,22,14.73,0.92,103.34,8.84
45,Bluff,97,AU,1559668400,51,-23.58,149.07,49.52,12.48
46,Harper,90,US,1559668048,88,30.3,-99.24,77.0,5.82
47,Saint Anthony,1,US,1559667909,59,43.97,-111.68,68.0,5.5
48,Fortuna Foothills,1,US,1559668403,26,32.66,-114.41,90.0,10.29
49,Tuktoyaktuk,75,CA,1559667678,80,69.44,-133.03,35.6,13.87
50,Mezinovskiy,0,RU,1559668406,60,55.48,40.41,58.34,3.33
51,Aklavik,75,CA,1559668407,75,68.22,-135.01,46.4,6.93
52,Geraldton,75,CA,1559667970,48,49.72,-86.95,60.8,3.36
53,Zhanakorgan,5,KZ,1559667946,33,43.91,67.25,81.38,3.51
54,Libreville,75,GA,1559668175,83,0.39,9.45,78.8,9.17
55,Iisalmi,0,FI,1559668229,49,63.56,27.19,71.6,13.87
56,Waingapu,100,ID,1559668413,86,-9.65,120.26,73.82,12.8
